"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1049","TC_HIC_PS_002 - Valid File Size (Boundary/Exact Limit)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionRemittanceAdviceTest","RtmTests","rtm.ClaimSubmissionRemittanceAdviceTest","claimSubmissionRemittanceAdviceTest"
"","667","TC_TRANS_007 - Diagnosis Coding Mapping","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1382","TC_UT_002.3 - Verify rejection for unsupported file extensions","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","624","TC_UT_BATCH_003 - Internal Duplication (In Batch)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","570","TC_OUT_004 - Missing TransactionID","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","674","TC_UT_BATCH_003 - Atomic Failure (One Invalid Claim)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","597","TC_SOAP_002 - Construct Warning SOAP Response (Result 1)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","825","TC_CLM_TYP_002 - Identify Resubmission (With Resubmission Tag)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1095","TC_UT_BATCH_001 - Verify Batch Claim processing, Duplication Rule #233, and Atomic Rejection","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","552","TC_BR_003 - Workflow Routing via DispositionFlag","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1487","TC_XSD_007 - Incorrect Nesting / Unexpected Element","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1171","TC_UT_ZIP_003 - Verify rejection when ZIP contains zero XML files","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1035","TC_FN_004 - Invalid File Extension (Not .xml/.zip)","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionRemittanceAdviceTest","RtmTests","rtm.ClaimSubmissionRemittanceAdviceTest","claimSubmissionRemittanceAdviceTest"
"","980","TC_RESUB_001 - Resubmission Type ""Correction""","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","575","TC_TRANS_014 - Contract Package Name Logic","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","660","TC_GEN_003 - Idempotency / Retrying with New ID","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
"","1312","TC_UT_002 - Validation (SOAP)(HCP) ","AllSuites","2026-03-09","failed","2026-03-09","rtm.ClaimSubmissionClaimUploadTest","RtmTests","rtm.ClaimSubmissionClaimUploadTest","claimSubmissionTest"
