"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","Получение списка всех книг","Surefire suite","Fri Mar 20 15:05:24 UTC 2026","passed","Fri Mar 20 15:05:24 UTC 2026","tests.API.BookStoreTest","Surefire test","tests.API.BookStoreTest","testGetBooks"
"","2530","Testing Response","Surefire suite","Fri Mar 20 15:06:13 UTC 2026","passed","Fri Mar 20 15:06:16 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","755","Авторизация пользователя","Surefire suite","Fri Mar 20 15:05:14 UTC 2026","passed","Fri Mar 20 15:05:14 UTC 2026","tests.API.AuthorizationTest","Surefire test","tests.API.AuthorizationTest","testLogin"
"","1844","Авторизация пользователя с неверными данными","Surefire suite","Fri Mar 20 15:05:43 UTC 2026","passed","Fri Mar 20 15:05:44 UTC 2026","tests.UI.LoginTest","Surefire test","tests.UI.LoginTest","testOfLoginWithInvalidCredentials"
"","2953","Testing Response","Surefire suite","Fri Mar 20 15:06:01 UTC 2026","passed","Fri Mar 20 15:06:04 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","2547","Testing Response","Surefire suite","Fri Mar 20 15:06:07 UTC 2026","passed","Fri Mar 20 15:06:10 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","651","Удаление всех книг из коллекции","Surefire suite","Fri Mar 20 15:05:23 UTC 2026","passed","Fri Mar 20 15:05:24 UTC 2026","tests.API.BookStoreTest","Surefire test","tests.API.BookStoreTest","testDeleteBooks"
"","2555","Testing Response","Surefire suite","Fri Mar 20 15:06:04 UTC 2026","passed","Fri Mar 20 15:06:07 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","4472","Генерация токена доступа","Surefire suite","Fri Mar 20 15:05:09 UTC 2026","passed","Fri Mar 20 15:05:14 UTC 2026","tests.API.AuthorizationTest","Surefire test","tests.API.AuthorizationTest","testGenerateToken"
"","1455","Добавление книги в коллекцию","Surefire suite","Fri Mar 20 15:05:22 UTC 2026","passed","Fri Mar 20 15:05:23 UTC 2026","tests.API.BookStoreTest","Surefire test","tests.API.BookStoreTest","testAddBook"
"","1766","Авторизация пользователя из базы данных","Surefire suite","Fri Mar 20 15:05:40 UTC 2026","broken","Fri Mar 20 15:05:42 UTC 2026","tests.UI.LoginTest","Surefire test","tests.UI.LoginTest","loginFromDatabase"
"","2438","Testing Radio Button","Surefire suite","Fri Mar 20 15:05:58 UTC 2026","passed","Fri Mar 20 15:06:01 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfRadioButton"
"","4290","Проверка страницы Book Store","Surefire suite","Fri Mar 20 15:05:32 UTC 2026","passed","Fri Mar 20 15:05:36 UTC 2026","tests.UI.BookStoreTest","Surefire test","tests.UI.BookStoreTest","testOfBookStore"
"","2711","Testing Text Box","Surefire suite","Fri Mar 20 15:06:22 UTC 2026","passed","Fri Mar 20 15:06:25 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfTextBox"
"","2534","Testing Response","Surefire suite","Fri Mar 20 15:06:16 UTC 2026","passed","Fri Mar 20 15:06:19 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","2828","Testing Response","Surefire suite","Fri Mar 20 15:06:10 UTC 2026","passed","Fri Mar 20 15:06:13 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","3060","Testing Web Tables","Surefire suite","Fri Mar 20 15:06:25 UTC 2026","passed","Fri Mar 20 15:06:28 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfWebTables"
"","2540","Testing Response","Surefire suite","Fri Mar 20 15:06:19 UTC 2026","passed","Fri Mar 20 15:06:22 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfResponse"
"","1891","Авторизация пользователя с корректными данными","Surefire suite","Fri Mar 20 15:05:45 UTC 2026","passed","Fri Mar 20 15:05:47 UTC 2026","tests.UI.LoginTest","Surefire test","tests.UI.LoginTest","testOfLoginWithValidCredentials"
"","2432","Testing Buttons","Surefire suite","Fri Mar 20 15:05:50 UTC 2026","passed","Fri Mar 20 15:05:53 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfButtons"
"","2368","Testing Links","Surefire suite","Fri Mar 20 15:05:53 UTC 2026","passed","Fri Mar 20 15:05:55 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfLinks"
"","1920","Testing Links","Surefire suite","Fri Mar 20 15:05:56 UTC 2026","passed","Fri Mar 20 15:05:58 UTC 2026","tests.UI.ElementsTest","Surefire test","tests.UI.ElementsTest","testOfLinks"
